label,run,source,source_format,tdcr_header_found,tdcr_version,tdcr_pair_id,tdcr_family_id,tdcr_warmup_packets,tdcr_capture_packets,tdcr_sample_div,packets,seq_gaps,seq_wraps,enable_edge_index,pre_enable_packets,post_enable_packets,bins,early_packets,window_packets,lag,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,early_entropy_a,early_entropy_b,early_entropy_diff,early_min_entropy_a,early_min_entropy_b,early_min_entropy_diff,transition_entropy_diff,transition_min_entropy_diff,same_diff_transition_ratio,residence_runs,residence_mean_len,residence_median_len,residence_p95_len,longest_same_diff_bin_run,autocorr_diff_lag,autocorr_a_lag,autocorr_b_lag,first_window_packets,later_window_packets,first_entropy_a,first_entropy_b,first_entropy_diff,later_entropy_a,later_entropy_b,later_entropy_diff,first_minus_later_entropy_a,first_minus_later_entropy_b,first_minus_later_entropy_diff,first_later_tvd_a,first_later_tvd_b,first_later_tvd_diff,first_diff_mean_bin,later_diff_mean_bin,first_minus_later_diff_mean_bin,warmup_packets,warmup_entropy_a,warmup_entropy_b,warmup_entropy_diff,warmup_transition_entropy_diff,warmup_same_diff_transition_ratio,warmup_longest_same_diff_bin_run,warmup_autocorr_diff_lag
random1_baseline_ro4_repeat02,tdc_reset_enable_random1_baseline_ro4_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_repeat02_2mib.bin,raw,0,,,,,,,262143,0,4,9234,9234,252909,128,1024,16384,1,2.6712611,5.4089016,6.60514349,1.28678691,3.49782082,4.70925709,2.65049268,5.3748588,6.50542104,1.27207955,3.71459778,4.75207249,13.1651278,9.42077614,0.0123048698,249797,1.01245812,1,1,4,-0.000544036662,-0.000659603682,-0.000406841235,16384,236525,2.67511556,5.4147648,6.60073018,2.67075747,5.40836579,6.60510203,0.00435809276,0.0063990075,-0.00437184948,0.0140784753,0.0189530486,0.0333206929,-0.679504395,-0.782610718,0.103106323,1024,2.65499195,5.37771973,6.50871022,9.88102966,0.0136852395,4,-0.0227622461
random1_sampler_local_ro4_repeat02,tdc_reset_enable_random1_sampler_local_ro4_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_repeat02_2mib.bin,raw,0,,,,,,,262143,0,4,9498,9498,252645,128,1024,16384,1,2.63830507,5.55826738,6.70188882,1.2899083,4.4961852,5.65846276,2.54449129,5.51476283,6.63040645,1.25180715,4.5081469,5.35614381,13.358853,11.0641033,0.0109521699,249878,1.0110734,1,1,4,0.00135009439,0.00113462281,0.00121350872,16384,236261,2.60755837,5.55328317,6.68716128,2.64029597,5.55839322,6.70250475,-0.0327376006,-0.0051100501,-0.01534347,0.0105584809,0.0247044513,0.0349407683,-1.71856689,-1.82203157,0.103464672,1024,2.53793877,5.518761,6.6339487,9.90792094,0.00879765396,2,-0.000215938808
