"label","group","name","ref_name","loc","bel","site","tile","clock_region","is_placed","is_bel_fixed","is_loc_fixed"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[14]","FDRE","SLICE_X51Y32","SLICEL.A5FF","SLICE_X51Y32","CLBLM_L_X34Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[15]","FDRE","SLICE_X52Y32","SLICEL.A5FF","SLICE_X52Y32","CLBLL_R_X35Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[16]","FDRE","SLICE_X45Y33","SLICEL.A5FF","SLICE_X45Y33","CLBLL_L_X30Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[17]","FDRE","SLICE_X46Y33","SLICEM.A5FF","SLICE_X46Y33","CLBLM_R_X31Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[18]","FDRE","SLICE_X47Y33","SLICEL.A5FF","SLICE_X47Y33","CLBLM_R_X31Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[19]","FDRE","SLICE_X48Y33","SLICEL.A5FF","SLICE_X48Y33","CLBLL_L_X32Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[20]","FDRE","SLICE_X49Y33","SLICEL.A5FF","SLICE_X49Y33","CLBLL_L_X32Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[21]","FDRE","SLICE_X50Y33","SLICEM.A5FF","SLICE_X50Y33","CLBLM_L_X34Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[22]","FDRE","SLICE_X51Y33","SLICEL.A5FF","SLICE_X51Y33","CLBLM_L_X34Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[23]","FDRE","SLICE_X52Y33","SLICEL.A5FF","SLICE_X52Y33","CLBLL_R_X35Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[24]","FDRE","SLICE_X45Y34","SLICEL.A5FF","SLICE_X45Y34","CLBLL_L_X30Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[25]","FDRE","SLICE_X46Y34","SLICEM.A5FF","SLICE_X46Y34","CLBLM_R_X31Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[26]","FDRE","SLICE_X47Y34","SLICEL.A5FF","SLICE_X47Y34","CLBLM_R_X31Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[27]","FDRE","SLICE_X48Y34","SLICEL.A5FF","SLICE_X48Y34","CLBLL_L_X32Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[28]","FDRE","SLICE_X49Y34","SLICEL.A5FF","SLICE_X49Y34","CLBLL_L_X32Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[29]","FDRE","SLICE_X50Y34","SLICEM.A5FF","SLICE_X50Y34","CLBLM_L_X34Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[30]","FDRE","SLICE_X51Y34","SLICEL.A5FF","SLICE_X51Y34","CLBLM_L_X34Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[31]","FDRE","SLICE_X52Y34","SLICEL.A5FF","SLICE_X52Y34","CLBLL_R_X35Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[32]","FDRE","SLICE_X45Y35","SLICEL.A5FF","SLICE_X45Y35","CLBLL_L_X30Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[33]","FDRE","SLICE_X46Y35","SLICEM.A5FF","SLICE_X46Y35","CLBLM_R_X31Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[34]","FDRE","SLICE_X47Y35","SLICEL.A5FF","SLICE_X47Y35","CLBLM_R_X31Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[35]","FDRE","SLICE_X48Y35","SLICEL.A5FF","SLICE_X48Y35","CLBLL_L_X32Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[36]","FDRE","SLICE_X49Y35","SLICEL.A5FF","SLICE_X49Y35","CLBLL_L_X32Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[37]","FDRE","SLICE_X50Y35","SLICEM.A5FF","SLICE_X50Y35","CLBLM_L_X34Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[38]","FDRE","SLICE_X51Y35","SLICEL.A5FF","SLICE_X51Y35","CLBLM_L_X34Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[39]","FDRE","SLICE_X52Y35","SLICEL.A5FF","SLICE_X52Y35","CLBLL_R_X35Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[40]","FDRE","SLICE_X45Y36","SLICEL.A5FF","SLICE_X45Y36","CLBLL_L_X30Y36","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[41]","FDRE","SLICE_X46Y36","SLICEM.A5FF","SLICE_X46Y36","CLBLM_R_X31Y36","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[42]","FDRE","SLICE_X47Y36","SLICEL.A5FF","SLICE_X47Y36","CLBLM_R_X31Y36","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[43]","FDRE","SLICE_X48Y36","SLICEL.A5FF","SLICE_X48Y36","CLBLL_L_X32Y36","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[44]","FDRE","SLICE_X49Y36","SLICEL.A5FF","SLICE_X49Y36","CLBLL_L_X32Y36","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[45]","FDRE","SLICE_X50Y36","SLICEM.A5FF","SLICE_X50Y36","CLBLM_L_X34Y36","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[46]","FDRE","SLICE_X51Y36","SLICEL.A5FF","SLICE_X51Y36","CLBLM_L_X34Y36","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[47]","FDRE","SLICE_X52Y36","SLICEL.A5FF","SLICE_X52Y36","CLBLL_R_X35Y36","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[48]","FDRE","SLICE_X45Y37","SLICEL.A5FF","SLICE_X45Y37","CLBLL_L_X30Y37","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[49]","FDRE","SLICE_X46Y37","SLICEM.A5FF","SLICE_X46Y37","CLBLM_R_X31Y37","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[50]","FDRE","SLICE_X47Y37","SLICEL.A5FF","SLICE_X47Y37","CLBLM_R_X31Y37","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[51]","FDRE","SLICE_X48Y37","SLICEL.A5FF","SLICE_X48Y37","CLBLL_L_X32Y37","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[52]","FDRE","SLICE_X49Y37","SLICEL.A5FF","SLICE_X49Y37","CLBLL_L_X32Y37","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[53]","FDRE","SLICE_X50Y37","SLICEM.A5FF","SLICE_X50Y37","CLBLM_L_X34Y37","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[54]","FDRE","SLICE_X51Y37","SLICEL.A5FF","SLICE_X51Y37","CLBLM_L_X34Y37","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[55]","FDRE","SLICE_X52Y37","SLICEL.A5FF","SLICE_X52Y37","CLBLL_R_X35Y37","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[56]","FDRE","SLICE_X45Y38","SLICEL.A5FF","SLICE_X45Y38","CLBLL_L_X30Y38","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[57]","FDRE","SLICE_X46Y38","SLICEM.A5FF","SLICE_X46Y38","CLBLM_R_X31Y38","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[58]","FDRE","SLICE_X47Y38","SLICEL.A5FF","SLICE_X47Y38","CLBLM_R_X31Y38","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[59]","FDRE","SLICE_X48Y38","SLICEL.A5FF","SLICE_X48Y38","CLBLL_L_X32Y38","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[60]","FDRE","SLICE_X49Y38","SLICEL.A5FF","SLICE_X49Y38","CLBLL_L_X32Y38","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[61]","FDRE","SLICE_X50Y38","SLICEM.A5FF","SLICE_X50Y38","CLBLM_L_X34Y38","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[62]","FDRE","SLICE_X51Y38","SLICEL.A5FF","SLICE_X51Y38","CLBLM_L_X34Y38","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[63]","FDRE","SLICE_X52Y38","SLICEL.A5FF","SLICE_X52Y38","CLBLL_R_X35Y38","","","0","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X44Y39","SLICEL.A6LUT","SLICE_X44Y39","CLBLL_L_X30Y39","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X44Y39","SLICEL.B6LUT","SLICE_X44Y39","CLBLL_L_X30Y39","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X52Y42","SLICEL.C6LUT","SLICE_X52Y42","CLBLL_R_X35Y42","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X52Y42","SLICEL.D6LUT","SLICE_X52Y42","CLBLL_R_X35Y42","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X67Y63","SLICEL.A6LUT","SLICE_X67Y63","CLBLM_R_X43Y63","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X67Y63","SLICEL.B6LUT","SLICE_X67Y63","CLBLM_R_X43Y63","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X66Y59","SLICEM.C6LUT","SLICE_X66Y59","CLBLM_R_X43Y59","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[3].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X66Y59","SLICEM.D6LUT","SLICE_X66Y59","CLBLM_R_X43Y59","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[4].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X49Y41","SLICEL.A6LUT","SLICE_X49Y41","CLBLL_L_X32Y41","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[4].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X49Y41","SLICEL.B6LUT","SLICE_X49Y41","CLBLL_L_X32Y41","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[5].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X67Y36","SLICEL.C6LUT","SLICE_X67Y36","CLBLM_R_X43Y36","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X67Y36","SLICEL.D6LUT","SLICE_X67Y36","CLBLM_R_X43Y36","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X60Y62","SLICEL.A6LUT","SLICE_X60Y62","CLBLL_L_X40Y62","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X60Y62","SLICEL.B6LUT","SLICE_X60Y62","CLBLL_L_X40Y62","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X36Y63","SLICEM.C6LUT","SLICE_X36Y63","CLBLM_L_X26Y63","","","1","1"
"compact_w4_baseline","data_ro","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X36Y63","SLICEM.D6LUT","SLICE_X36Y63","CLBLM_L_X26Y63","","","1","1"
