label_a,label_b,group,net,pips_a,pips_b,nodes_a,nodes_b,route_changed,drivers_a,drivers_b,loads_a,loads_b
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/out[0],30,31,31,32,True,,,u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/in0[0],32,32,33,33,True,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/out[0],30,31,31,32,True,,,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/in0[0],32,32,33,33,False,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/out[0],32,32,33,33,True,,,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/in0[0],32,32,33,33,False,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/out[0],32,32,33,33,False,,,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/in0[0],32,32,33,33,False,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/out[0],32,32,33,33,False,,,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/in0[0],31,31,32,32,True,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/out[0],32,32,33,33,False,,,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/GND,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/in0[0],16,15,17,16,True,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/out[0],31,31,32,32,True,,,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1,u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/<const0>,932,933,989,991,False,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/GND,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/GND,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/en,56,54,57,55,True,,,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1
compact_w4_baseline,forward_w4_formal_sample,sample_ro_net,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/in0[0],36,32,37,33,True,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1,u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1,,
