label,sample_ro_cells,sampled_data_regs,data_ro_cells,sample_ro_locs,sampled_reg_loc_count,data_ro_loc_count,sample_ro_nets,sampled_data_nets,data_ro_nets,sample_ro_pips,sampled_data_pips,data_ro_pips,sample_ro_delay_arcs,sampled_data_delay_arcs,data_ro_delay_arcs,neighborhood_rows
compact_w11_baseline,9,64,16,SLICE_X46Y32 SLICE_X46Y33 SLICE_X46Y34 SLICE_X46Y35 SLICE_X46Y36 SLICE_X46Y37 SLICE_X47Y33 SLICE_X49Y45,64,8,36,64,64,9251,282,16456,276,64,384,241
compact_w4_baseline,9,64,16,SLICE_X46Y32 SLICE_X46Y33 SLICE_X46Y34 SLICE_X46Y35 SLICE_X46Y36 SLICE_X46Y37 SLICE_X47Y33 SLICE_X49Y45,64,8,36,64,64,9241,282,16469,276,64,384,241
compact_w5_baseline,9,64,16,SLICE_X46Y32 SLICE_X46Y33 SLICE_X46Y34 SLICE_X46Y35 SLICE_X46Y36 SLICE_X46Y37 SLICE_X47Y33 SLICE_X49Y45,64,8,36,64,64,9270,282,16496,276,64,384,241
formal_w4_baseline,9,64,16,SLICE_X46Y32 SLICE_X46Y33 SLICE_X46Y34 SLICE_X46Y35 SLICE_X46Y36 SLICE_X46Y37 SLICE_X47Y33 SLICE_X49Y45,64,8,36,64,64,9212,282,16382,276,64,384,233
forward_w11_formal_sample,9,64,16,SLICE_X46Y32 SLICE_X46Y33 SLICE_X46Y34 SLICE_X46Y35 SLICE_X46Y36 SLICE_X46Y37 SLICE_X47Y33 SLICE_X49Y45,64,8,36,64,64,9261,282,16464,276,64,384,234
forward_w4_formal_sample,9,64,16,SLICE_X46Y32 SLICE_X46Y33 SLICE_X46Y34 SLICE_X46Y35 SLICE_X46Y36 SLICE_X46Y37 SLICE_X47Y33 SLICE_X49Y45,64,8,36,64,64,9240,282,16438,276,64,384,233
forward_w5_formal_sample,9,64,16,SLICE_X46Y32 SLICE_X46Y33 SLICE_X46Y34 SLICE_X46Y35 SLICE_X46Y36 SLICE_X46Y37 SLICE_X47Y33 SLICE_X49Y45,64,8,36,64,64,9261,282,16478,276,64,384,233
reverse_w4_compact_sample,9,64,16,SLICE_X46Y32 SLICE_X46Y33 SLICE_X46Y34 SLICE_X46Y35 SLICE_X46Y36 SLICE_X46Y37 SLICE_X47Y33 SLICE_X49Y45,17,7,36,64,64,8694,259,16104,276,64,384,551
