byte_index,bit_index,ones,zeros,p1,x,msb_expanded_column,lsb_expanded_column
19,5,501,499,0.501000000,501,154,157
19,6,504,496,0.504000000,504,153,158
19,7,486,514,0.486000000,514,152,159
20,0,491,509,0.491000000,509,167,160
20,1,470,530,0.470000000,530,166,161
20,2,506,494,0.506000000,506,165,162
20,3,507,493,0.507000000,507,164,163
20,4,494,506,0.494000000,506,163,164
20,5,463,537,0.463000000,537,162,165
20,6,531,469,0.531000000,531,161,166
20,7,491,509,0.491000000,509,160,167
21,0,533,467,0.533000000,533,175,168
21,1,482,518,0.482000000,518,174,169
21,2,498,502,0.498000000,502,173,170
21,3,507,493,0.507000000,507,172,171
21,4,488,512,0.488000000,512,171,172
21,5,486,514,0.486000000,514,170,173
21,6,508,492,0.508000000,508,169,174
21,7,523,477,0.523000000,523,168,175
22,0,502,498,0.502000000,502,183,176
22,1,475,525,0.475000000,525,182,177
22,2,512,488,0.512000000,512,181,178
22,3,496,504,0.496000000,504,180,179
22,4,510,490,0.510000000,510,179,180
22,5,496,504,0.496000000,504,178,181
22,6,491,509,0.491000000,509,177,182
22,7,499,501,0.499000000,501,176,183
23,0,524,476,0.524000000,524,191,184
23,1,501,499,0.501000000,501,190,185
23,2,502,498,0.502000000,502,189,186
23,3,505,495,0.505000000,505,188,187
23,4,488,512,0.488000000,512,187,188
23,5,500,500,0.500000000,500,186,189
23,6,484,516,0.484000000,516,185,190
23,7,535,465,0.535000000,535,184,191
24,0,499,501,0.499000000,501,199,192
24,1,489,511,0.489000000,511,198,193
24,2,483,517,0.483000000,517,197,194
24,3,476,524,0.476000000,524,196,195
24,4,524,476,0.524000000,524,195,196
24,5,510,490,0.510000000,510,194,197
24,6,496,504,0.496000000,504,193,198
24,7,501,499,0.501000000,501,192,199
25,0,459,541,0.459000000,541,207,200
25,1,464,536,0.464000000,536,206,201
25,2,476,524,0.476000000,524,205,202
25,3,518,482,0.518000000,518,204,203
25,4,527,473,0.527000000,527,203,204
25,5,485,515,0.485000000,515,202,205
25,6,512,488,0.512000000,512,201,206
25,7,491,509,0.491000000,509,200,207
26,0,513,487,0.513000000,513,215,208
26,1,523,477,0.523000000,523,214,209
26,2,490,510,0.490000000,510,213,210
26,3,511,489,0.511000000,511,212,211
26,4,490,510,0.490000000,510,211,212
26,5,512,488,0.512000000,512,210,213
26,6,512,488,0.512000000,512,209,214
26,7,492,508,0.492000000,508,208,215
27,0,491,509,0.491000000,509,223,216
27,1,485,515,0.485000000,515,222,217
27,2,496,504,0.496000000,504,221,218
27,3,509,491,0.509000000,509,220,219
27,4,486,514,0.486000000,514,219,220
27,5,484,516,0.484000000,516,218,221
27,6,496,504,0.496000000,504,217,222
27,7,510,490,0.510000000,510,216,223
28,0,491,509,0.491000000,509,231,224
28,1,451,549,0.451000000,549,230,225
28,2,514,486,0.514000000,514,229,226
28,3,500,500,0.500000000,500,228,227
28,4,479,521,0.479000000,521,227,228
28,5,486,514,0.486000000,514,226,229
28,6,483,517,0.483000000,517,225,230
28,7,524,476,0.524000000,524,224,231
29,0,501,499,0.501000000,501,239,232
29,1,499,501,0.499000000,501,238,233
29,2,511,489,0.511000000,511,237,234
29,3,506,494,0.506000000,506,236,235
29,4,502,498,0.502000000,502,235,236
29,5,488,512,0.488000000,512,234,237
29,6,501,499,0.501000000,501,233,238
29,7,512,488,0.512000000,512,232,239
30,0,509,491,0.509000000,509,247,240
30,1,505,495,0.505000000,505,246,241
30,2,482,518,0.482000000,518,245,242
30,3,516,484,0.516000000,516,244,243
30,4,534,466,0.534000000,534,243,244
30,5,498,502,0.498000000,502,242,245
30,6,507,493,0.507000000,507,241,246
30,7,527,473,0.527000000,527,240,247
31,0,498,502,0.498000000,502,255,248
31,1,513,487,0.513000000,513,254,249
31,2,491,509,0.491000000,509,253,250
31,3,495,505,0.495000000,505,252,251
31,4,488,512,0.488000000,512,251,252
31,5,497,503,0.497000000,503,250,253
31,6,491,509,0.491000000,509,249,254
31,7,479,521,0.479000000,521,248,255
32,0,479,521,0.479000000,521,263,256
32,1,540,460,0.540000000,540,262,257
32,2,501,499,0.501000000,501,261,258
32,3,530,470,0.530000000,530,260,259
32,4,492,508,0.492000000,508,259,260
32,5,506,494,0.506000000,506,258,261
32,6,525,475,0.525000000,525,257,262
