"run","case","variant","warmup","directive_tag","place_directive","phys_opt_directive","route_directive","build_dir","bitstream","bitstream_sha256","routed_dcp","capture","capture_sha256","overall_p1","overall_min_entropy","row_ones_std","worst_byte_index","worst_bit_index","worst_x","worst_p1","xadc_after_status","xadc_after_temperature_c"
"restart_fifo_compact_diag_compact_warmup4_1000x125_explore1_run01_20260528","compact_baseline","compact","4","explore1","Explore","Explore","Explore","E:\Project\MLDSA\RO_TRNG\data\vivado_runs\sample_ro_directive_variance_20260528\restart_fifo_compact_diag_compact_warmup4_1000x125_explore1","E:\Project\MLDSA\RO_TRNG\data\vivado_runs\sample_ro_directive_variance_20260528\restart_fifo_compact_diag_compact_warmup4_1000x125_explore1\RO_TRNG_restart_fifo_compact_diag_top.bit","B78892076B75DCE54545B9A677DC28E5E10919617E93BCE668629614D3353E5D","E:\Project\MLDSA\RO_TRNG\data\vivado_runs\sample_ro_directive_variance_20260528\restart_fifo_compact_diag_compact_warmup4_1000x125_explore1\checkpoints\RO_TRNG_restart_fifo_compact_diag_top_routed.dcp","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart_fifo_diag\restart_fifo_compact_diag_compact_warmup4_1000x125_explore1_run01_20260528.bin","6F70F6BE63CC3A8D8EB02E38FE1A11FB5AD1BD373FA64C8C363A3DAE98BE7ABB","0.496761000","0.990684362","15.475331305","3","3","560","0.440000000","captured","44.3"
"restart_fifo_compact_diag_formal_sample_warmup4_1000x125_explore1_run01_20260528","forward_fail","formal_sample","4","explore1","Explore","Explore","Explore","E:\Project\MLDSA\RO_TRNG\data\vivado_runs\sample_ro_directive_variance_20260528\restart_fifo_compact_diag_formal_sample_warmup4_1000x125_explore1","E:\Project\MLDSA\RO_TRNG\data\vivado_runs\sample_ro_directive_variance_20260528\restart_fifo_compact_diag_formal_sample_warmup4_1000x125_explore1\RO_TRNG_restart_fifo_compact_diag_top.bit","C9C57E5567E6BC48306FBFFA886C3087F328098CAC82F7632D6FB9BEB935030C","E:\Project\MLDSA\RO_TRNG\data\vivado_runs\sample_ro_directive_variance_20260528\restart_fifo_compact_diag_formal_sample_warmup4_1000x125_explore1\checkpoints\RO_TRNG_restart_fifo_compact_diag_top_routed.dcp","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart_fifo_diag\restart_fifo_compact_diag_formal_sample_warmup4_1000x125_explore1_run01_20260528.bin","1C97A78710D12E6F477DBE61B3E3AF19ED05609BB94079B36638360FFB5AF5BE","0.375294000","0.678750709","15.459998836","2","2","796","0.204000000","captured","44.9"
