label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random1_baseline_warmup12,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,2.7338997,5.47809366,6.64275959,1.33111502,3.830075,4.84012866,11.52157,0.0134310134,3,0.00644924926,-2.54174805,35.2823354
random1_baseline_warmup12,tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,2.68095282,5.4843048,6.66047976,1.29782731,3.95560588,5.12963528,11.5361574,0.0112332112,3,-0.00735942146,-2.76416016,35.6096192
random3_goodref_warmup0,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,0,0,4095,4096,2.69303671,5.37873977,6.5800681,1.30651304,3.81512466,4.93391081,11.4905666,0.0156288156,3,-0.00444222483,-0.126464844,34.379014
random3_goodref_warmup0,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,1,4096,8191,4096,2.65823083,5.39405467,6.61252336,1.29350398,3.972094,5.06926266,11.5302659,0.0139194139,3,-0.0119079396,0.122558594,34.300313
random3_goodref_warmup0,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,2,8192,12287,4096,2.68759483,5.40792464,6.60036861,1.33111502,3.90196792,5.08113676,11.5185585,0.0136752137,2,-0.00518019807,-0.176025391,34.0283157
random3_goodref_warmup0,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,3,12288,16383,4096,2.66354996,5.36325489,6.5818648,1.32492508,3.84518189,5.10518224,11.5194077,0.0131868132,2,-0.0287491139,-0.414794922,34.2458834
random3_goodref_warmup0,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,4,16384,20479,4096,2.72818555,5.39363456,6.60774212,1.34894831,3.94471756,5.11735695,11.5212071,0.0114774115,3,0.0102989228,-0.289306641,33.7467194
random3_goodref_warmup0,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,5,20480,24575,4096,2.70108102,5.39200771,6.59341408,1.31525138,3.84012866,5.05748549,11.5010476,0.010989011,2,-0.0095830607,-1.18359375,34.0590091
random3_goodref_warmup0,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,6,24576,28671,4096,2.72144348,5.39547132,6.61928564,1.33911273,3.90196792,5.06926266,11.5254914,0.0129426129,2,0.00407986702,-0.531005859,34.4022249
random3_goodref_warmup0,tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,7,28672,32767,4096,2.67380418,5.36841371,6.57807769,1.29956028,3.95015145,5.01131531,11.4950579,0.0134310134,3,-0.0286973802,0.177246094,34.6779543
random3_goodref_warmup12,tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,0,0,4095,4096,2.70315949,5.37256594,6.58929757,1.33200146,3.89147554,5.04580369,11.4953436,0.0146520147,3,-0.0171115041,-1.04589844,34.0569493
random3_goodref_warmup12,tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,1,4096,8191,4096,2.67867737,5.38311821,6.58196071,1.31262432,3.87587869,5.12963528,11.4879057,0.0117216117,3,-0.0248931781,-0.952392578,34.7960102
random3_goodref_warmup12,tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,2,8192,12287,4096,2.6518247,5.39366371,6.59214397,1.29782731,3.98319171,5.17982104,11.4995739,0.0144078144,3,-0.0148352711,-0.354980469,34.7937859
random3_goodref_warmup12,tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,3,12288,16383,4096,2.70970741,5.33857302,6.56909452,1.31876159,3.93930407,5.03421572,11.4904896,0.0131868132,2,0.00859518792,-0.342529297,33.9040895
random3_goodref_warmup12,tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,4,16384,20479,4096,2.7499968,5.40044396,6.62102093,1.32845893,4.16079621,5.28575448,11.534493,0.01001221,3,-0.00848533034,-1.49560547,34.6172299
random3_goodref_warmup12,tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,5,20480,24575,4096,2.72943015,5.37213815,6.57629001,1.34894831,3.972094,5.11735695,11.4800062,0.0168498168,3,-0.00824742605,-0.430419922,34.3004187
random3_goodref_warmup12,tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,2.71922609,5.38689536,6.59360577,1.26021939,4.02272008,5,11.4987521,0.0114774115,3,0.0172943556,0.508300781,34.3399358
random3_goodref_warmup12,tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525,data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,2.62799971,5.38671976,6.58942108,1.32404297,4.02845645,5.20558413,11.4963724,0.0112332112,2,-0.00239116814,-0.556152344,34.5425189
