label_a,label_b,group,name,loc_a,loc_b,bel_a,bel_b,loc_changed,bel_changed
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[0],SLICE_X45Y31,SLICE_X45Y31,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[1],SLICE_X46Y31,SLICE_X46Y31,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[2],SLICE_X47Y31,SLICE_X47Y31,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[3],SLICE_X48Y31,SLICE_X48Y31,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[4],SLICE_X49Y31,SLICE_X49Y31,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[5],SLICE_X50Y31,SLICE_X50Y31,SLICEM.A5FF,SLICEM.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[6],SLICE_X51Y31,SLICE_X51Y31,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[7],SLICE_X52Y31,SLICE_X52Y31,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[8],SLICE_X45Y32,SLICE_X45Y32,SLICEL.A5FF,SLICEL.A5FF,False,False
compact_w4_explore1,forward_w4_explore1,sampled_data_regs,u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[9],SLICE_X46Y32,SLICE_X46Y32,SLICEM.A5FF,SLICEM.A5FF,False,False
