run,packets,seq_gaps,lane_a_std_phase_ps,lane_b_std_phase_ps,diff_std_ps,bin_pearson_r,phase_pearson_r,lane_a_shannon_bin,lane_b_shannon_bin,lane_a_min_entropy_bin,lane_b_min_entropy_bin,lane_a_used_bins,lane_b_used_bins
tdc_near_run02,262143,0,1350.482212417318,1379.8536312271776,1927.586005194355,0.0032144488789203098,0.003276268671089059,2.6883129274844464,3.233429253447381,1.3143422835382226,1.4773976410272394,63,63
tdc_far_run01,262132,43,1350.5178549506106,1361.2206019068171,1915.2948874947929,0.0029277289233167413,0.0023024682385706955,2.664581311732866,2.8876794801756205,1.309731320073312,1.3906397710797243,73,73
