mode,data_ro,label,p1_run01,p1_run02,delta_p1_run02_minus_run01,abs_delta_p1,bias_run01,bias_run02,same_bias_sign,abs_bias_run01,abs_bias_run02,minH_run01,minH_run02,worst_x_run01,worst_x_run02,worst_p1_run01,worst_p1_run02
data_ro,0,data_ro0,0.191877000,0.182267000,-0.009610000,0.009610000,-0.308123000,-0.317733000,True,0.308123000,0.317733000,0.307353200,0.290298233,897,910,0.103000000,0.090000000
data_ro,1,data_ro1,0.518915000,0.522621000,0.003706000,0.003706000,0.018915000,0.022621000,True,0.018915000,0.022621000,0.946429855,0.936162999,632,642,0.368000000,0.642000000
data_ro,2,data_ro2,0.244002000,0.245911000,0.001909000,0.001909000,-0.255998000,-0.254089000,True,0.255998000,0.254089000,0.403545677,0.407193290,847,858,0.153000000,0.142000000
data_ro,3,data_ro3,0.671833000,0.671545000,-0.000288000,0.000288000,0.171833000,0.171545000,True,0.171833000,0.171545000,0.573825433,0.574444017,804,818,0.804000000,0.818000000
data_ro,4,data_ro4,0.424639000,0.427625000,0.002986000,0.002986000,-0.075361000,-0.072375000,True,0.075361000,0.072375000,0.797460661,0.804967435,807,811,0.193000000,0.189000000
data_ro,5,data_ro5,0.409454000,0.405413000,-0.004041000,0.004041000,-0.090546000,-0.094587000,True,0.090546000,0.094587000,0.759878654,0.750040174,806,801,0.194000000,0.199000000
data_ro,6,data_ro6,0.375380000,0.375746000,0.000366000,0.000366000,-0.124620000,-0.124254000,True,0.124620000,0.124254000,0.678949330,0.679794934,839,834,0.161000000,0.166000000
data_ro,7,data_ro7,0.549958000,0.547275000,-0.002683000,0.002683000,0.049958000,0.047275000,True,0.049958000,0.047275000,0.862606650,0.869662140,644,662,0.644000000,0.662000000
except_data_ro,0,except_ro0,0.501020000,0.500956000,-0.000064000,0.000064000,0.001020000,0.000956000,True,0.001020000,0.000956000,0.997059900,0.997244201,571,551,0.571000000,0.449000000
except_data_ro,1,except_ro1,0.550312000,0.553538000,0.003226000,0.003226000,0.050312000,0.053538000,True,0.050312000,0.053538000,0.861678307,0.853245734,597,611,0.597000000,0.611000000
except_data_ro,2,except_ro2,0.499674000,0.499543000,-0.000131000,0.000131000,-0.000326000,-0.000457000,True,0.000326000,0.000457000,0.999059669,0.998681979,557,551,0.557000000,0.449000000
except_data_ro,3,except_ro3,0.553930000,0.553217000,-0.000713000,0.000713000,0.053930000,0.053217000,True,0.053930000,0.053217000,0.852224420,0.854082605,603,604,0.603000000,0.604000000
except_data_ro,4,except_ro4,0.520205000,0.519451000,-0.000754000,0.000754000,0.020205000,0.019451000,True,0.020205000,0.019451000,0.942847829,0.944940429,570,563,0.570000000,0.563000000
except_data_ro,5,except_ro5,0.565521000,0.566377000,0.000856000,0.000856000,0.065521000,0.066377000,True,0.065521000,0.066377000,0.822347497,0.820165415,620,618,0.620000000,0.618000000
except_data_ro,6,except_ro6,0.501833000,0.500471000,-0.001362000,0.001362000,0.001833000,0.000471000,True,0.001833000,0.000471000,0.994720751,0.998641621,556,555,0.556000000,0.555000000
except_data_ro,7,except_ro7,0.542602000,0.542643000,0.000041000,0.000041000,0.042602000,0.042643000,True,0.042602000,0.042643000,0.882033730,0.881924721,598,591,0.598000000,0.591000000
