input_file,reason
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_1000x125_warmup4_retest01_20260524.bin,"E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_1000x125_warmup4_retest01_20260524.bin: expected 125000 bytes, got 125008"
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.bin,"E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.bin: expected 125000 bytes, got 125008"
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup0_1000x125_20260523.bin,"E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup0_1000x125_20260523.bin: expected 125000 bytes, got 0"
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup12_1000x125_20260523.bin,"E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup12_1000x125_20260523.bin: expected 125000 bytes, got 0"
