placement,trng_sample_role,trng_target_bytes,trng_p1,trng_abs_bias,trng_bit_min_entropy,trng_monobit_p,trng_runs_p,trng_adjacent_equal_ratio,trng_byte_min_entropy,ro_data_count,ro_data_mean_freq_mhz,ro_data_std_freq_mhz,ro_data_min_freq_mhz,ro_data_max_freq_mhz,ro_data_span_mhz,ro_sample_all_on_freq_mhz,ro_min_data_data_delta_mhz,ro_min_data_data_pair,ro_min_data_data_beat_ns,ro_second_data_data_delta_mhz,ro_second_data_data_pair,ro_close_data_data_pairs_le_1mhz,ro_close_data_data_pairs_le_3mhz,ro_nearest_data_sample_delta_mhz,ro_nearest_data_sample_pair,ro_nearest_data_sample_beat_ns,ro_data_mean_shift_mhz,ro_data_mean_abs_shift_ppm,ro_data_max_abs_shift_ppm,ro_sample_shift_mhz,ro_sample_shift_ppm,ro_sample_abs_shift_ppm
random1,formal,10485760.0,0.337315512,0.162684488,0.593605945,0.0,0.0,0.556739754,4.80160868,8,434.84794627052264,20.706257403063432,403.2029822029822,457.2276989660976,54.02471676311541,89.99615384615385,0.46619470080861447,data4/data5,2145.0265270400982,0.9790865384615017,data0/data1,2,4,313.20682835682834,data6/sample,3.1927784117807487,-0.18504094978992214,421.577454650692,690.3612056574947,0.31093080900102166,3466.9123682974628,3466.9123682974628
random3,formal,10485760.0,0.499968565,3.14354897e-05,0.999909299,0.564729298,0.18437283,0.500072473,7.9845501,8,436.64936313386204,20.64970484620374,396.30593607305934,460.8060562364816,64.50012016342225,91.7349194905071,0.6733958183129403,data3/data7,1485.010706638039,2.3266041816870597,data3/data5,1,3,304.57101658255226,data4/sample,3.2833065050658083,-0.20935472242250341,478.08528557364525,672.8496564089505,-0.07570295602018007,-824.55552530723,824.55552530723
