label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,13,3328,3583,256,2.71722625,5.33668739,6.30687541,1.34178852,3.67807191,4.830075,7.96298089,0.0156862745,2,-0.0267886354,-2.05859375,36.5356727
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,14,3584,3839,256,2.62978358,5.23594383,6.30400587,1.31349947,3.2451125,4.0931094,7.95513775,0.0156862745,3,0.0257278747,-3.5703125,35.631047
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,15,3840,4095,256,2.51948523,5.37390289,6.27831516,1.28575448,4.0931094,4.54056838,7.96298089,0.0117647059,2,-0.00769328376,0.30078125,34.5150061
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,16,4096,4351,256,2.61561146,5.2324592,6.18255189,1.32757466,3.60768258,4.54056838,7.93945148,0.0196078431,2,0.0915892727,-3.46875,33.977833
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,17,4352,4607,256,2.49587507,5.35102675,6.24579934,1.10518224,3.60768258,4.4150375,7.93649113,0.0274509804,2,0.053125913,-0.13671875,33.7329893
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,18,4608,4863,256,2.60827729,5.34915689,6.34048228,1.35614381,4,5,7.97082403,0.00784313725,2,-0.0103185782,0.27734375,35.4565356
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,19,4864,5119,256,2.5348031,5.30473106,6.26908411,1.27207955,3.4150375,4.4150375,7.96298089,0,1,0.0597741112,-5.3046875,34.8622069
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,20,5120,5375,256,2.56076649,5.32245933,6.28667588,1.19264508,3.830075,4.67807191,7.97866716,0.0196078431,2,0.0848894579,-2.10546875,34.5574913
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,21,5376,5631,256,2.45299188,5.34107266,6.25381365,1.2451125,3.54056838,4.830075,7.92080486,0.00392156863,2,-0.00225487243,-5.5546875,37.0665133
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,22,5632,5887,256,2.39313437,5.48713794,6.31514055,1.28575448,4.29956028,5,7.97866716,0.0235294118,2,0.0231874022,-1.86328125,33.943102
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,23,5888,6143,256,2.36085447,5.34046209,6.21556033,1.27207955,3.29956028,4.29956028,7.94729461,0.0156862745,3,-0.091042596,-5.6171875,35.7089808
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,24,6144,6399,256,2.70622877,5.38032502,6.29978589,1.31349947,4.0931094,4.54056838,7.94729461,0.00784313725,2,0.0270195436,-2.72265625,35.4924631
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,25,6400,6655,256,2.67572274,5.28306175,6.35683565,1.21864029,4.0931094,4.830075,7.97082403,0.00392156863,2,-0.0640549647,-6.640625,36.485449
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,26,6656,6911,256,2.65993573,5.3147436,6.22662551,1.35614381,3.4150375,4.54056838,7.95513775,0.00392156863,2,-0.128106249,-4.99609375,32.242646
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,27,6912,7167,256,2.4378766,5.4756062,6.33908598,1.27207955,4.4150375,4.830075,7.9865103,0.00784313725,2,-0.0258316049,-2.75,36.3903672
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,28,7168,7423,256,2.69482259,5.39654851,6.39172999,1.34178852,3.830075,4.67807191,7.95513775,0.0117647059,2,-0.0674601494,-3.30078125,35.3693032
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,29,7424,7679,256,2.49357003,5.22061437,6.21281455,1.10518224,3.29956028,4.54056838,7.94433427,0.0196078431,3,0.0394282406,0.5,35.5127152
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,30,7680,7935,256,2.57731331,5.3185377,6.2677517,1.25853301,3.2451125,4.29956028,7.9865103,0.00392156863,2,0.0457937407,-1.75,36.5209583
random1_baseline_delay3s,tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro0_smoke_delay3s_no_xadc.bin,31,7936,8190,255,2.60317078,5.40715595,6.36144795,1.36499682,3.99435344,4.67242534,7.98081067,0.0196850394,2,0.0336393349,-3.02745098,34.1774439
