timestamp,TEMPERATURE,VCCINT,VCCAUX,VCCBRAM,VPVN
2026-05-23 01:33:06,45.8,1.000,1.795,1.000,
2026-05-23 01:41:55,46.0,1.000,1.796,1.000,
2026-05-23 01:43:24,46.0,1.000,1.796,1.000,
2026-05-23 01:52:12,45.9,1.000,1.797,1.000,
2026-05-23 01:57:16,45.8,1.000,1.797,1.000,
2026-05-23 02:01:32,45.8,1.000,1.797,1.000,
2026-05-23 02:05:24,45.8,1.000,1.797,1.000,
2026-05-23 02:12:13,45.4,1.000,1.797,1.000,
2026-05-23 02:20:17,45.4,1.000,1.796,1.000,
2026-05-23 02:24:44,45.8,1.000,1.797,1.000,
2026-05-23 14:07:12,45.9,1.000,1.797,1.000,
2026-05-23 14:11:42,45.9,1.000,1.797,1.000,
2026-05-23 14:17:33,45.9,1.000,1.797,1.000,
2026-05-23 14:49:11,46.4,1.000,1.797,1.000,
2026-05-23 14:53:17,46.1,1.000,1.796,1.000,
2026-05-23 15:02:09,46.3,1.000,1.796,1.000,
