metadata_file,capture_id,board_id,kind,output_file,file_bytes,bytes_requested,bytes_captured,start_time,end_time,duration_seconds,uart_port,baud,bitstream,sha256,legacy_fpga_temperature_c,legacy_voltage_condition,xadc_csv,xadc_before_status,xadc_before_timestamp,xadc_before_temperature_c,xadc_before_vccint_v,xadc_before_vccaux_v,xadc_before_vccbram_v,xadc_before_vpvn_v,xadc_before_error,xadc_after_status,xadc_after_timestamp,xadc_after_temperature_c,xadc_after_vccint_v,xadc_after_vccaux_v,xadc_after_vccbram_v,xadc_after_vpvn_v,xadc_after_error,xadc_status,temperature_delta_c,vccint_v_delta,vccaux_v_delta,vccbram_v_delta,vpvn_v_delta
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\checker_repeat02_5mib.json,checker_repeat02_5mib,,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\checker_repeat02_5mib.bin,5242880,5242880,5242880,2026-05-13 20:27:15,2026-05-13 20:40:47,811.67,COM3,115200,data\vivado_runs\fpga1_ro_trng_sweep\ro_checker_pitch3_x44y43\seed_1\RO_TRNG_top.bit,240A92C1D92DD9783CA4D76A2B3544F752A41E2B8BF75E41EC79EF5226580692,,nominal_board_power,,,,,,,,,,,,,,,,,,missing,,,,,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\checker_repeat03_20mib.json,checker_repeat03_20mib,z7020_b01,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\checker_repeat03_20mib.bin,20971520,20971520,20971520,2026-05-22 19:55:05,2026-05-22 20:42:25,2839.361,COM3,115200,data\vivado_runs\fpga1_ro_trng_matrix\checker_pitch3_x44y43\seed_1\RO_TRNG_top.bit,8036BA5E92E81577C8D80BF5369E7F80CF9F2BBC0D5ABC638C906E83E4D861F2,46.3,nominal_board_power,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\xadc_readings.csv,ok,2026-05-22 20:11:41,46.3,1.000,1.797,1.000,,,ok,2026-05-22 20:43:11,46.3,1.000,1.796,1.000,,,ok,0,0,-0.001,0,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\checker_run01.json,checker_run01,,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\checker_run01.bin,10485760,10485760,10485760,2026-05-12 02:05:59,2026-05-12 02:26:09,1210.398,COM3,115200,data\vivado_runs\fpga1_ro_trng_sweep\ro_checker_pitch3_x44y43\seed_1\RO_TRNG_top.bit,9AD7FB0641A2790C8FFAA9AA35CC2C4626CF9B765A0558588D681C36323DB3A1,,nominal_board_power,,,,,,,,,,,,,,,,,,missing,,,,,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\checker_smoke01.json,checker_smoke01,,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\checker_smoke01.bin,1048576,1048576,1048576,2026-05-12 00:18:02,2026-05-12 00:19:33,91.339,COM3,115200,data\vivado_runs\fpga1_ro_trng_sweep\ro_checker_pitch3_x44y43\seed_1\RO_TRNG_top.bit,A5A88F17DA6CAE6376796F4C8CF9A5517AD097C2111F66B111F4173A41CDFDC7,,nominal_board_power,,,,,,,,,,,,,,,,,,missing,,,,,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\compact_repeat02_5mib.json,compact_repeat02_5mib,,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\compact_repeat02_5mib.bin,5242880,5242880,5242880,2026-05-13 13:47:54,2026-05-13 13:55:29,455.393,COM3,115200,data\vivado_runs\fpga1_ro_trng_sweep\ro_compact_x44y43\seed_1\RO_TRNG_top.bit,EB601E16DC5E287778BD73AFD7D10DAE7ABA3BFD2A04937BF1117D28641AD917,,nominal_board_power,,,,,,,,,,,,,,,,,,missing,,,,,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\compact_repeat03_20mib.json,compact_repeat03_20mib,z7020_b01,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\compact_repeat03_20mib.bin,20971520,20971520,20971520,2026-05-22 19:21:06,2026-05-22 20:08:26,2839.361,COM3,115200,data\vivado_runs\fpga1_ro_trng_matrix\compact_x44y43\seed_1\RO_TRNG_top.bit,F86DE00FB040877D86BE9AA8B5EBCB854C1736E64077A2C009F295344C803807,46.4,nominal_board_power,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\xadc_readings.csv,ok,2026-05-22 19:37:40,46.1,1.000,1.796,1.000,,,ok,2026-05-22 20:09:14,46.4,1.000,1.797,1.000,,,ok,0.3,0,0.001,0,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\compact_run01.json,compact_run01,,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\compact_run01.bin,10485760,10485760,10485760,2026-05-11 23:03:19,2026-05-11 23:36:57,2017.626,COM3,115200,data\vivado_runs\fpga1_ro_trng_sweep\ro_compact_x44y43\seed_1\RO_TRNG_top.bit,465A74CBD8EA45D543DA994FF2C4B4FD147A906B15CDEB460AA8A643BCB74716,,nominal_board_power,,,,,,,,,,,,,,,,,,missing,,,,,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\compact_smoke01.json,compact_smoke01,,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\compact_smoke01.bin,1048576,1048576,1048576,2026-05-11 21:25:09,2026-05-11 21:28:09,179.966,COM3,115200,data\vivado_runs\fpga1_ro_trng_sweep\ro_compact_x44y43\seed_1\RO_TRNG_top.bit,3F0FB3903C7E5FC7387E15D2588C07681CB5661F6DC73C90B0EFFBBDCC38852A,,nominal_board_power,,,,,,,,,,,,,,,,,,missing,,,,,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\cross_region_repeat02_5mib.json,cross_region_repeat02_5mib,,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\cross_region_repeat02_5mib.bin,5242880,5242880,5242880,2026-05-13 20:44:47,2026-05-13 20:59:52,905.117,COM3,115200,data\vivado_runs\fpga1_ro_trng_matrix\cross_region_x36y25\seed_1\RO_TRNG_top.bit,693DD1C7F65C3E7AD5815A7DFC54A4E94A3C88A3B92CAB0B01D275908AA17115,,nominal_board_power,,,,,,,,,,,,,,,,,,missing,,,,,
E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\cross_region_repeat03_20mib.json,cross_region_repeat03_20mib,z7020_b01,trng,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\cross_region_repeat03_20mib.bin,20971520,20971520,20971520,2026-05-22 21:35:13,2026-05-22 22:22:32,2839.361,COM3,115200,data\vivado_runs\fpga1_ro_trng_matrix\cross_region_x36y25\seed_1\RO_TRNG_top.bit,C79235898C34814AD5752858DAE0BD8874E5CC7B76E378140B5B37F7C87770C6,46.0,nominal_board_power,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\metadata\xadc_readings.csv,ok,2026-05-22 21:51:51,45.9,1.000,1.795,1.000,,,ok,2026-05-22 22:23:23,46.0,1.000,1.796,1.000,,,ok,0.1,0,0.001,0,
