family,target_index,target_name,all_on_freq_mhz,single_on_freq_mhz,shift_mhz,shift_ppm_vs_single
random1,0,data0,413.9990389235944,414.0413461538462,-0.042307230251765304,-102.18117259247128
random1,1,data1,413.05814512253727,413.1942307692308,-0.13608564669351608,-329.3503068524691
random1,2,data2,454.85920230658337,455.01730769230767,-0.15810538572429778,-347.4711468145119
random1,3,data3,433.6713118692936,433.8480769230769,-0.1767650537832992,-407.43537469831955
random1,4,data4,456.77751081210954,457.0759615384615,-0.2984507263519731,-652.9565137213181
random1,5,data5,457.2657376261413,457.50961538461536,-0.24387775847407056,-533.0549354007554
random1,6,data6,403.3185968284479,403.4596153846154,-0.14101855616752346,-349.52334952555634
random1,7,data7,446.41153846153844,446.54423076923075,-0.13269230769230944,-297.15378354285224
random1,8,sample,89.92211538461538,89.61845266698703,0.30366271762835595,3388.3950078532985
random3,0,data0,460.87457952907255,461.1542527630947,-0.27967323402214106,-606.463525699752
random3,1,data1,448.9673076923077,449.1625,-0.19519230769230944,-434.5694658220787
random3,2,data2,412.49543049543047,412.7041847041847,-0.2087542087542147,-505.8204314158921
random3,3,data3,439.5141895141895,439.73820981713186,-0.22402030294233555,-509.4401576690275
random3,4,data4,396.3123498318116,396.5242905242905,-0.21194069247889047,-534.496114219533
random3,5,data5,437.2215281114849,437.3314121037464,-0.10988399226152978,-251.26023244692618
random3,6,data6,457.76911976911975,457.98078770413065,-0.21166793501089387,-462.1764508332121
random3,7,data7,440.2153846153846,440.3326923076923,-0.11730769230769056,-266.40695627868394
random3,8,sample,91.71744353676117,91.94711538461539,-0.22967184785422035,-2497.86898581322
