family,target_index,target_name,all_on_freq_mhz,single_on_freq_mhz,shift_mhz,shift_ppm_vs_single
random1,0,data0,413.93052884615383,413.9879764338103,-0.057447587656440646,-138.7663191363857
random1,1,data1,412.95144230769233,413.10183960562705,-0.1503972979347168,-364.0683325891153
random1,2,data2,454.78197115384614,454.98485576923076,-0.20288461538461888,-445.91509544115985
random1,3,data3,433.60649038461537,433.83125,-0.22475961538464162,-518.0807408056511
random1,4,data4,456.761504265289,457.0770525303522,-0.315548265063228,-690.3612056574947
random1,5,data5,457.2276989660976,457.436193222783,-0.20849425668541244,-455.78871933264463
random1,6,data6,403.2029822029822,403.37483475543803,-0.17185255245584585,-426.03687104089744
random1,7,data7,446.3209520375045,446.469895445259,-0.1489434077544729,-333.60235320218726
random1,8,sample,89.99615384615385,89.68522303715282,0.31093080900102166,3466.9123682974628
random3,0,data0,460.8060562364816,461.11631819274214,-0.31026195626054687,-672.8496564089505
random3,1,data1,448.92309540975725,449.1321797644797,-0.20908435472244946,-465.52966841986506
random3,2,data2,412.4854602259072,412.7281903388608,-0.24273011295360902,-588.111300937116
random3,3,data3,439.5330449411199,439.7654409997597,-0.23239605863977886,-528.4545736733002
random3,4,data4,396.30593607305934,396.4852198990627,-0.17928382600337045,-452.1828734221482
random3,5,data5,437.20644075943284,437.31939437635185,-0.11295361691901462,-258.2863197277002
random3,6,data6,457.72843066570533,457.98173515981733,-0.25330449411200107,-553.0886379641491
random3,7,data7,440.20644075943284,440.3412641192021,-0.13482335976925697,-306.17925403593284
random3,8,sample,91.7349194905071,91.81062244652728,-0.07570295602018007,-824.55552530723
