board,route_pair,label,sample_ro_locs,sample_ro_cells,sampled_data_regs,data_ro_cells,sample_ro_pips,sampled_data_pips,data_ro_pips,total_pips_audited,sample_ro_delay_arcs,sampled_data_delay_arcs,data_ro_delay_arcs,neighborhood_rows,source_file
z7020_b02_capture_context,orig_w10_sampler_island_vs_heldout_w10_sample_x36y35,heldout_w10_sample_x36y35,SLICE_X36Y35 SLICE_X37Y35 SLICE_X38Y35,9,64,16,9285,283,16345,25913,276,64,384,99,data\experiments\heldout_sampler_route_diff_20260530\sample_ro_route_evidence_summary_20260528.csv
z7020_b02_capture_context,orig_w10_sampler_island_vs_heldout_w10_sample_x36y35,orig_w10_sampler_island,SLICE_X45Y39 SLICE_X46Y39 SLICE_X47Y39,9,64,16,9297,284,16264,25845,276,64,384,168,data\experiments\heldout_sampler_route_diff_20260530\sample_ro_route_evidence_summary_20260528.csv
