board,context,implementation,warmup,kind,index,p1,signed_bias,abs_bias,beta_factor,min_entropy,worst_x,worst_p1,source_file
z7020_b01,board1_w10_direction_map,w10_direction_map_20260526,10,except_data_ro,7,0.542602000,0.042602000,0.042602,-0.085204000,0.88203373,598,0.598,data\experiments\restart_reduced_xor_vector_anisotropy_20260528\reduced_xor_vector_anisotropy_detail_20260528.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,all640,all,0.500718000,0.000718000,0.000718000,-0.001436000,0.997929776,658,0.557000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,data_ro,0,0.303427000,-0.196573000,0.196573000,0.393146000,0.521653541,16,0.174000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,data_ro,1,0.456671000,-0.043329000,0.043329000,0.086658000,0.880102042,15,0.308000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,data_ro,2,0.431770000,-0.068230000,0.068230000,0.136460000,0.815453094,0,0.211000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,data_ro,3,0.658159000,0.158159000,0.158159000,-0.316318000,0.603491938,2,0.852000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,data_ro,4,0.396274000,-0.103726000,0.103726000,0.207452000,0.728034161,1,0.239000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,data_ro,5,0.273096000,-0.226904000,0.226904000,0.453808000,0.460163251,12,0.138000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,data_ro,6,0.344886000,-0.155114000,0.155114000,0.310228000,0.610182115,21,0.242000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
z7020_b02,heldout_sample_x36y35_regs_x45y31,board2_heldout_sampler_w10,10,data_ro,7,0.577178000,0.077178000,0.077178000,-0.154356000,0.792911784,7,0.889000000,data\hardware\20260529_fpga1_board2\restart_reduced_xor_heldout_sampler_20260530\summary\board2_heldout_sampler_w10_reduced_xor_full_map.csv
