enabled,priority,placement,warmup_bytes,repeat_tag,bitstream,initial_entropy_msb,initial_entropy_lsb,column_x_cutoff,notes
1,P0,random1_sampler_regs_only,0,run01,data\vivado_runs\restart_auto_random1_regs_only_formal_bits_1000x125_warmup0_header_delay60s\RO_TRNG_restart_auto_top.bit,0.9994511186059211,0.9994511186059211,0,regs-only restart formal bit-symbol dataset; sample RO baseline, sampling registers local
1,P0,random1_sampler_regs_only,12,run01,data\vivado_runs\restart_auto_random1_regs_only_formal_bits_1000x125_warmup12_header_delay60s\RO_TRNG_restart_auto_top.bit,0.9994511186059211,0.9994511186059211,0,regs-only restart warmup12 contrast
1,P0,random1_sampler_regs_only,0,run02,data\vivado_runs\restart_auto_random1_regs_only_formal_bits_1000x125_warmup0_header_delay60s\RO_TRNG_restart_auto_top.bit,0.9994511186059211,0.9994511186059211,0,regs-only restart repeat02 to check fixed-column repeatability
1,P0,random1_sampler_regs_only,12,run02,data\vivado_runs\restart_auto_random1_regs_only_formal_bits_1000x125_warmup12_header_delay60s\RO_TRNG_restart_auto_top.bit,0.9994511186059211,0.9994511186059211,0,regs-only restart warmup12 repeat02
