section,evidence_class,comparison_scope,item,run,metric,value,unit,n,baseline,delta,interpretation,source_file
TDC,statistical_comparison,near_far_repeat_runs,near,tdc_near_run02,seq_gaps,0,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_near_run02\tdc_near_run02.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,near,tdc_near_run03_2mib,diff_std_ps,1928.8200496047077,ps,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_near_run03_2mib\tdc_near_run03_2mib.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,near,tdc_near_run03_2mib,lane_a_used_bins,63,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_near_run03_2mib\tdc_near_run03_2mib.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,near,tdc_near_run03_2mib,lane_b_used_bins,63,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_near_run03_2mib\tdc_near_run03_2mib.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,near,tdc_near_run03_2mib,packets,262143,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_near_run03_2mib\tdc_near_run03_2mib.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,near,tdc_near_run03_2mib,phase_pearson_r,0.0018288662094391867,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_near_run03_2mib\tdc_near_run03_2mib.tdc_metrics.csv
TDC,statistical_comparison,near_far_repeat_runs,near,tdc_near_run03_2mib,seq_gaps,0,,1,,,per-run TDC repeat metric,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc\analysis_tdc_near_run03_2mib\tdc_near_run03_2mib.tdc_metrics.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_repeat02_5mib,abs_bias,0.000216960907,,1,,,single captured run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_repeat02_5mib,adjacent_equal_ratio,0.499964392,,1,,,single captured run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_repeat02_5mib,bit_min_entropy,0.999374119,,1,,,single captured run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_repeat02_5mib,byte_min_entropy,7.96898809,,1,,,single captured run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
TRNG,case_comparison,original_fpga1_baseline,original_fpga1,original_fpga1_repeat02_5mib,bytes,5242880,,1,,,single captured run; do not treat as placement-wide statistics,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\trng\trng_repeats_by_run.csv
