enabled,priority,run,kind,bitstream,bytes,out_file,metadata_dir,analyze_group,idle_timeout_sec,notes
1,P0,restart_random1_sample_ro_local_warmup0_1000x125_20260523,restart,data\vivado_runs\restart_auto_random1_sample_ro_local_formal_bits_1000x125_warmup0_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup0_1000x125_20260523.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_20260523,90,random1 data placement with sample RO moved local; tests whether continuous-stream repair also fixes startup without warmup
1,P0,restart_random1_sample_ro_local_warmup12_1000x125_20260523,restart,data\vivado_runs\restart_auto_random1_sample_ro_local_formal_bits_1000x125_warmup12_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup12_1000x125_20260523.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_20260523,90,random1 data placement with sample RO moved local; warmup12 restart control
1,P0,restart_random1_sampler_island_local_warmup0_1000x125_20260523,restart,data\vivado_runs\restart_auto_random1_sampler_island_local_formal_bits_1000x125_warmup0_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sampler_island_local_warmup0_1000x125_20260523.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_20260523,90,random1 data placement with sample RO and sampling registers local; tests register/routing effect on startup bias
1,P0,restart_random1_sampler_island_local_warmup12_1000x125_20260523,restart,data\vivado_runs\restart_auto_random1_sampler_island_local_formal_bits_1000x125_warmup12_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sampler_island_local_warmup12_1000x125_20260523.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_20260523,90,random1 data placement with sample RO and sampling registers local; warmup12 restart control
