enabled,priority,run,kind,bitstream,bytes,out_file,metadata_dir,analyze_group,idle_timeout_sec,notes
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_all640_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=all64 index=0
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_all642_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_all642_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_all642_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=all64 index=2
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_all643_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_all643_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_all643_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=all64 index=3
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_all646_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_all646_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_all646_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=all64 index=6
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=0
1,P0,restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro2_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=2
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro3_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=3
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_data_ro6_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=data_ro index=6
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro0_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro0_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=except_data_ro index=0
1,P1,restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro2_1000x125_strict_20260526_repeat02,restart,data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup10_except_data_ro2_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit,125008,data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro2_1000x125_strict_20260526_repeat02.bin,data\hardware\20260511_fpga1_board1\metadata,restart_reduced_xor_strict_20260526_repeat02,180,reduced_xor variant=sampler_island_local warmup=10 mode=except_data_ro index=2
