enabled,priority,run,kind,bitstream,bytes,out_file,metadata_dir,analyze_group,idle_timeout_sec,notes
1,P1,restart_random1_sample_ro_local_warmup4_1000x125_preopen_20260525,restart,data\vivado_runs\restart_auto_random1_sample_ro_local_formal_bits_1000x125_warmup4_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup4_1000x125_preopen_20260525.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_passband_preopen_20260525,120,"pre-open retry after post-program XADC caused partial capture"
1,P1,restart_random1_sample_ro_local_warmup5_1000x125_preopen_20260525,restart,data\vivado_runs\restart_auto_random1_sample_ro_local_formal_bits_1000x125_warmup5_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup5_1000x125_preopen_20260525.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_passband_preopen_20260525,120,"pre-open retry after post-program XADC caused partial capture"
1,P1,restart_random1_sample_ro_local_warmup10_1000x125_preopen_20260525,restart,data\vivado_runs\restart_auto_random1_sample_ro_local_formal_bits_1000x125_warmup10_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup10_1000x125_preopen_20260525.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_passband_preopen_20260525,120,"pre-open retry after post-program XADC caused partial capture"
1,P1,restart_random1_sample_ro_local_warmup11_1000x125_preopen_20260525,restart,data\vivado_runs\restart_auto_random1_sample_ro_local_formal_bits_1000x125_warmup11_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sample_ro_local_warmup11_1000x125_preopen_20260525.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_passband_preopen_20260525,120,"pre-open retry after post-program XADC caused partial capture"
1,P1,restart_random1_sampler_island_local_warmup4_1000x125_preopen_20260525,restart,data\vivado_runs\restart_auto_random1_sampler_island_local_formal_bits_1000x125_warmup4_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sampler_island_local_warmup4_1000x125_preopen_20260525.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_passband_preopen_20260525,120,"pre-open retry after post-program XADC caused partial capture"
1,P1,restart_random1_sampler_island_local_warmup5_1000x125_preopen_20260525,restart,data\vivado_runs\restart_auto_random1_sampler_island_local_formal_bits_1000x125_warmup5_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sampler_island_local_warmup5_1000x125_preopen_20260525.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_passband_preopen_20260525,120,"pre-open retry after post-program XADC caused partial capture"
1,P1,restart_random1_sampler_island_local_warmup10_1000x125_preopen_20260525,restart,data\vivado_runs\restart_auto_random1_sampler_island_local_formal_bits_1000x125_warmup10_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sampler_island_local_warmup10_1000x125_preopen_20260525.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_passband_preopen_20260525,120,"pre-open retry after post-program XADC caused partial capture"
1,P1,restart_random1_sampler_island_local_warmup11_1000x125_preopen_20260525,restart,data\vivado_runs\restart_auto_random1_sampler_island_local_formal_bits_1000x125_warmup11_header_delay60s\RO_TRNG_restart_auto_top.bit,125000,data\hardware\20260511_fpga1_board1\restart\restart_random1_sampler_island_local_warmup11_1000x125_preopen_20260525.bin,data\hardware\20260511_fpga1_board1\metadata,restart_sampler_island_passband_preopen_20260525,120,"pre-open retry after post-program XADC caused partial capture"
