enabled,priority,run,kind,bitstream,bytes,out_file,metadata_dir,analyze_group,notes
1,P0,tdc_sampler_data_random1_baseline_sample_x36y35_ro0_2mib,tdc,data\vivado_runs\fpga1_tdc_sampler_data\tdc_sampler_data_random1_baseline_sample_x36y35_ro0\RO_TDC_pair_sysclk_top.bit,2MiB,data\hardware\20260511_fpga1_board1\tdc_sampler_data\tdc_sampler_data_random1_baseline_sample_x36y35_ro0_2mib.bin,data\hardware\20260511_fpga1_board1\metadata,tdc_sampler_data_20260523,random1 bad baseline sample RO against nearest/local data RO0
1,P0,tdc_sampler_data_random1_local_sample_x45y39_ro0_2mib,tdc,data\vivado_runs\fpga1_tdc_sampler_data\tdc_sampler_data_random1_local_sample_x45y39_ro0\RO_TDC_pair_sysclk_top.bit,2MiB,data\hardware\20260511_fpga1_board1\tdc_sampler_data\tdc_sampler_data_random1_local_sample_x45y39_ro0_2mib.bin,data\hardware\20260511_fpga1_board1\metadata,tdc_sampler_data_20260523,random1 same data RO0 with sampler moved to causal-fix location
1,P1,tdc_sampler_data_random1_baseline_sample_x36y35_ro4_2mib,tdc,data\vivado_runs\fpga1_tdc_sampler_data\tdc_sampler_data_random1_baseline_sample_x36y35_ro4\RO_TDC_pair_sysclk_top.bit,2MiB,data\hardware\20260511_fpga1_board1\tdc_sampler_data\tdc_sampler_data_random1_baseline_sample_x36y35_ro4_2mib.bin,data\hardware\20260511_fpga1_board1\metadata,tdc_sampler_data_20260523,random1 baseline sample RO against second representative data RO4
1,P1,tdc_sampler_data_random1_local_sample_x45y39_ro4_2mib,tdc,data\vivado_runs\fpga1_tdc_sampler_data\tdc_sampler_data_random1_local_sample_x45y39_ro4\RO_TDC_pair_sysclk_top.bit,2MiB,data\hardware\20260511_fpga1_board1\tdc_sampler_data\tdc_sampler_data_random1_local_sample_x45y39_ro4_2mib.bin,data\hardware\20260511_fpga1_board1\metadata,tdc_sampler_data_20260523,random1 local sample RO against same representative data RO4
1,P1,tdc_sampler_data_random3_sample_x36y35_ro0_2mib,tdc,data\vivado_runs\fpga1_tdc_sampler_data\tdc_sampler_data_random3_sample_x36y35_ro0\RO_TDC_pair_sysclk_top.bit,2MiB,data\hardware\20260511_fpga1_board1\tdc_sampler_data\tdc_sampler_data_random3_sample_x36y35_ro0_2mib.bin,data\hardware\20260511_fpga1_board1\metadata,tdc_sampler_data_20260523,random3 good-placement sampler-data reference RO0
1,P1,tdc_sampler_data_random3_sample_x36y35_ro3_2mib,tdc,data\vivado_runs\fpga1_tdc_sampler_data\tdc_sampler_data_random3_sample_x36y35_ro3\RO_TDC_pair_sysclk_top.bit,2MiB,data\hardware\20260511_fpga1_board1\tdc_sampler_data\tdc_sampler_data_random3_sample_x36y35_ro3_2mib.bin,data\hardware\20260511_fpga1_board1\metadata,tdc_sampler_data_20260523,random3 good-placement sampler-data reference RO3
