enabled,priority,run,kind,bitstream,bytes,out_file,metadata_dir,analyze_group,idle_timeout_sec,notes
1,P0,tdc_reset_enable_random1_baseline_ro4,tdc,data\vivado_runs\fpga1_tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4\RO_TDC_pair_reset_enable_top.bit,2MiB,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_baseline_ro4_2mib.bin,data\hardware\20260511_fpga1_board1\metadata,tdc_reset_enable_ro4_20260524,30,random1 baseline sample RO vs data RO4; reset-enable delayed edge; tests whether RO0 diffusion ordering generalizes
1,P0,tdc_reset_enable_random1_sampler_local_ro4,tdc,data\vivado_runs\fpga1_tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4\RO_TDC_pair_reset_enable_top.bit,2MiB,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro4_2mib.bin,data\hardware\20260511_fpga1_board1\metadata,tdc_reset_enable_ro4_20260524,30,random1 sampler-local sample RO vs data RO4; reset-enable delayed edge; direct contrast against baseline RO4
