enabled,priority,run,kind,bitstream,bytes,out_file,metadata_dir,analyze_group,notes
1,P0,same_column_repeat03_20mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\same_column_pitch3_x44y35\seed_1\RO_TRNG_top.bit,20MiB,data\hardware\20260511_fpga1_board1\trng\same_column_repeat03_20mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_20mib,same_column: balanced p1 but abnormal runs/adjacent structure
1,P0,sparse_repeat03_20mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\sparse_pitch6_x36y35\seed_1\RO_TRNG_top.bit,20MiB,data\hardware\20260511_fpga1_board1\trng\sparse_repeat03_20mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_20mib,sparse structured low-entropy repeat
1,P0,far_repeat03_20mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\far_x20y25\seed_1\RO_TRNG_top.bit,20MiB,data\hardware\20260511_fpga1_board1\trng\far_repeat03_20mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_20mib,far mild-bias/runs control
1,P0,compact_repeat03_20mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\compact_x44y43\seed_1\RO_TRNG_top.bit,20MiB,data\hardware\20260511_fpga1_board1\trng\compact_repeat03_20mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_20mib,bitstream ready; structured good control
1,P0,checker_repeat03_20mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\checker_pitch3_x44y43\seed_1\RO_TRNG_top.bit,20MiB,data\hardware\20260511_fpga1_board1\trng\checker_repeat03_20mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_20mib,bitstream ready; structured good control
1,P1,random2_repeat03_20mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\random_seed2_x36y35\seed_1\RO_TRNG_top.bit,20MiB,data\hardware\20260511_fpga1_board1\trng\random2_repeat03_20mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_20mib,random-family middle case
1,P1,row_repeat03_20mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\row_pitch3_x38y43\seed_1\RO_TRNG_top.bit,20MiB,data\hardware\20260511_fpga1_board1\trng\row_repeat03_20mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_20mib,row structured low-entropy case
1,P1,cross_region_repeat03_20mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\cross_region_x36y25\seed_1\RO_TRNG_top.bit,20MiB,data\hardware\20260511_fpga1_board1\trng\cross_region_repeat03_20mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_20mib,cross-region structured control
0,P2,random1_repeat04_10mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\random_seed1_x36y35\seed_1\RO_TRNG_top.bit,10MiB,data\hardware\20260511_fpga1_board1\trng\random1_repeat04_10mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_optional,optional; already has 20MiB repeat03
0,P2,random3_repeat04_10mib,trng,data\vivado_runs\fpga1_ro_trng_matrix\random_seed3_x36y35\seed_1\RO_TRNG_top.bit,10MiB,data\hardware\20260511_fpga1_board1\trng\random3_repeat04_10mib.bin,data\hardware\20260511_fpga1_board1\metadata,placement_repeat_optional,optional; already has 20MiB repeat03
